,equity
2008-05-15 00:00:00+00:00,73659713.92652209
2008-05-16 00:00:00+00:00,73860763.72638346
2008-05-19 00:00:00+00:00,56751237.10928505
2008-05-20 00:00:00+00:00,73863293.59260736
2008-05-21 00:00:00+00:00,74056276.10404006
2008-05-22 00:00:00+00:00,73814385.74901602
2008-05-23 00:00:00+00:00,73440049.24226597
2008-05-26 00:00:00+00:00,72977900.16126627
2008-05-27 00:00:00+00:00,72765706.14340733
2008-05-28 00:00:00+00:00,73046451.13732427
2008-05-29 00:00:00+00:00,72957210.8298101
2008-05-30 00:00:00+00:00,73097710.61772765
2008-06-02 00:00:00+00:00,72660543.09850594
2008-06-03 00:00:00+00:00,72641348.68530364
2008-06-04 00:00:00+00:00,71865384.35554175
2008-06-05 00:00:00+00:00,72461376.85810453
2008-06-06 00:00:00+00:00,72305456.60557558
2008-06-09 00:00:00+00:00,72107487.73419933
2008-06-10 00:00:00+00:00,72357219.24118796
2008-06-11 00:00:00+00:00,72392518.85795653
2008-06-12 00:00:00+00:00,72642659.8574593
2008-06-13 00:00:00+00:00,72563487.2264812
2008-06-16 00:00:00+00:00,72614751.92222121
2008-06-17 00:00:00+00:00,72903851.00034726
2008-06-18 00:00:00+00:00,72560962.54251242
2008-06-19 00:00:00+00:00,72366056.85693058
2008-06-20 00:00:00+00:00,71876043.7832899
2008-06-23 00:00:00+00:00,64679113.010253616
2008-06-24 00:00:00+00:00,64067124.0849089
2008-06-25 00:00:00+00:00,64286663.612592496
2008-06-26 00:00:00+00:00,64588480.02027083
2008-06-27 00:00:00+00:00,64191538.84684259
2008-06-30 00:00:00+00:00,63620759.51225871
2008-07-01 00:00:00+00:00,63029818.844137564
2008-07-02 00:00:00+00:00,63173016.21365244
2008-07-03 00:00:00+00:00,63220473.18590744
2008-07-04 00:00:00+00:00,52277353.8575553
2008-07-07 00:00:00+00:00,62768461.19049137
2008-07-08 00:00:00+00:00,62535761.37021457
2008-07-09 00:00:00+00:00,62501896.5815612
2008-07-10 00:00:00+00:00,62613333.40505536
2008-07-11 00:00:00+00:00,62770089.15874383
2008-07-14 00:00:00+00:00,62645760.66579261
2008-07-15 00:00:00+00:00,62434031.58962111
2008-07-16 00:00:00+00:00,62475680.57872985
2008-07-17 00:00:00+00:00,62210947.285282716
2008-07-18 00:00:00+00:00,62099793.7897711
2008-07-21 00:00:00+00:00,61999703.166447766
2008-07-22 00:00:00+00:00,62006182.597736746
2008-07-23 00:00:00+00:00,63022520.23469536
2008-07-24 00:00:00+00:00,62633003.37406145
2008-07-25 00:00:00+00:00,62400143.98129059
2008-07-28 00:00:00+00:00,62612991.38803787
2008-07-29 00:00:00+00:00,62335424.6598576
2008-07-30 00:00:00+00:00,63005105.30727199
2008-07-31 00:00:00+00:00,63115319.4351845
2008-08-01 00:00:00+00:00,63490314.134875394
2008-08-04 00:00:00+00:00,63987493.50635476
2008-08-05 00:00:00+00:00,63694388.37808398
2008-08-06 00:00:00+00:00,63338660.364833795
2008-08-07 00:00:00+00:00,63275951.89383681
2008-08-08 00:00:00+00:00,63694903.020601794
2008-08-11 00:00:00+00:00,64094486.22930567
2008-08-12 00:00:00+00:00,63664831.19241389
2008-08-13 00:00:00+00:00,63508906.63598204
2008-08-14 00:00:00+00:00,63461572.771393366
2008-08-15 00:00:00+00:00,46632850.63632595
2008-08-18 00:00:00+00:00,63284938.32513372
2008-08-19 00:00:00+00:00,63097049.67947271
2008-08-20 00:00:00+00:00,63165110.580058895
2008-08-21 00:00:00+00:00,62947051.14967532
2008-08-22 00:00:00+00:00,62965211.661370724
2008-08-25 00:00:00+00:00,62898940.3941625
2008-08-26 00:00:00+00:00,62934017.13585444
2008-08-27 00:00:00+00:00,62895271.49111807
2008-08-28 00:00:00+00:00,62895677.183716476
2008-08-29 00:00:00+00:00,63042874.72747002
2008-09-01 00:00:00+00:00,62968169.96313378
2008-09-02 00:00:00+00:00,62951476.716927715
2008-09-03 00:00:00+00:00,54604819.725640744
2008-09-04 00:00:00+00:00,63013706.21763755
2008-09-05 00:00:00+00:00,62879110.25550855
2008-09-08 00:00:00+00:00,62981226.52483033
2008-09-09 00:00:00+00:00,62922627.373835854
2008-09-10 00:00:00+00:00,62722654.93601299
2008-09-11 00:00:00+00:00,62465177.465866864
2008-09-12 00:00:00+00:00,62412191.13000284
2008-09-15 00:00:00+00:00,62182250.31603801
2008-09-16 00:00:00+00:00,61901347.16569385
2008-09-17 00:00:00+00:00,61711601.88177268
2008-09-18 00:00:00+00:00,54919394.76331305
2008-09-19 00:00:00+00:00,55839197.67439556
2008-09-22 00:00:00+00:00,56798732.45019973
2008-09-23 00:00:00+00:00,56715858.26887931
2008-09-24 00:00:00+00:00,56585319.464109704
